    55    57    65    67    33    35    41    43    18    20    91    93     4     6   144   146   579
    85    87   111   113    67    69   178   180    38    40    75    77     9    11   112   114   596
   117   119   170   172   110   112   150   152    30    32    44    46    22    24    54    56   983
   147   149   173   175   100   102   137   139    71    73   174   176    34    36    63    65  1954
    81    83   107   109    63    65   174   176    34    36    71    73     5     7   108   110  2430
    90    92   100   102    68    70    76    78    53    55   126   128    39    41   179   181  3226
   100   102   153   155    93    95   133   135    13    15    27    29     5     7    37    39  3324
   138   140   164   166    91    93   128   130    62    64   165   167    25    27    54    56  3527
   128   130   154   156    81    83   118   120    52    54   155   157    15    17    44    46  3572
    73    75    83    85    51    53    59    61    36    38   109   111    22    24   162   164  3699
   126   128   179   181   119   121   159   161    39    41    53    55    31    33    63    65  3876
    81    83    91    93    59    61    67    69    44    46   117   119    30    32   170   172  3888
   110   112   163   165   103   105   143   145    23    25    37    39    15    17    47    49  4071
   120   122   173   175   113   115   153   155    33    35    47    49    25    27    57    59  4296
   141   143   167   169    94    96   131   133    65    67   168   170    28    30    57    59  4362
   113   115   166   168   106   108   146   148    26    28    40    42    18    20    50    52  4430
   140   142   166   168    93    95   130   132    64    66   167   169    27    29    56    58  5413
   112   114   165   167   105   107   145   147    25    27    39    41    17    19    49    51  5549
    75    77    85    87    53    55    61    63    38    40   111   113    24    26   164   166  5576
   119   121   172   174   112   114   152   154    32    34    46    48    24    26    56    58  5793
    57    59    67    69    35    37    43    45    20    22    93    95     6     8   146   148  5828
   118   120   171   173   111   113   151   153    31    33    45    47    23    25    55    57  6771
    56    58    66    68    34    36    42    44    19    21    92    94     5     7   145   147  6841
    75    77    95    97    35    37    42    44    31    33    47    49     1     3   147   149  6932
   111   113   164   166   104   106   144   146    24    26    38    40    16    18    48    50  7275
    74    76    84    86    52    54    60    62    37    39   110   112    23    25   163   165  7329
   139   141   165   167    92    94   129   131    63    65   166   168    26    28    55    57  7547
   104   106   157   159    97    99   137   139    17    19    31    33     9    11    41    43  8200
    80    82   106   108    62    64   173   175    33    35    70    72     4     6   107   109  9677
    82    84   102   104    42    44    49    51    38    40    54    56     8    10   154   156 10138
   109   111   162   164   102   104   142   144    22    24    36    38    14    16    46    48 10495
    80    82    90    92    58    60    66    68    43    45   116   118    29    31   169   171 10577
   125   127   178   180   118   120   158   160    38    40    52    54    30    32    62    64 10617
    72    74    82    84    50    52    58    60    35    37   108   110    21    23   161   163 11223
   137   139   163   165    90    92   127   129    61    63   164   166    24    26    53    55 11455
   127   129   153   155    80    82   117   119    51    53   154   156    14    16    43    45 11481
    89    91    99   101    67    69    75    77    52    54   125   127    38    40   178   180 11781
    97    99   117   119    57    59    64    66    53    55    69    71    23    25   169   171 11960
