    30    32   399
   137   139   984
     6     8  1014
   106   108  1148
   130   132  2151
   153   155  2182
    90    92  2272
   166   168  2304
    20    22  2950
   173   175  3387
   117   119  3432
    15    17  4012
    74    76  4024
    33    35  4227
     1     3  4493
   133   135  4542
    35    37  4724
     2     4  4958
    34    36  5081
   132   134  5197
   175   177  5402
    32    34  5687
    31    33  7007
   174   176  7429
   131   133  8107
    19    21  8253
   110   112  8320
   165   167  9521
   152   154  9789
    89    91  9969
   129   131 10239
    73    75 10305
    14    16 10345
   122   124 10644
    65    67 11254
   172   174 11591
   116   118 11745
    49    51 12026
   136   138 12417
     5     7 12509
     9    11 13000
   156   158 13222
    23    25 13254
    29    31 13359
   159   161 13506
    26    28 13518
    68    70 14280
   105   107 16329
    60    62 16680
   181   183 17338
    53    55 17444
   179   181 18330
   104   106 18595
   143   145 19296
    58    60 19922
   155   157 20605
    22    24 20669
     8    10 21153
   135   137 22067
     4     6 22155
   177   179 22298
    67    69 22689
    51    53 23010
    25    27 24237
   158   160 24245
   161   163 24428
    28    30 24431
    64    66 24797
    85    87 25452
   121   123 25625
    78    80 25652
   141   143 25842
    72    74 26547
    13    15 26595
    48    50 27333
   102   104 27646
   115   117 27891
    95    97 28080
   171   173 28095
   148   150 28588
   125   127 29580
    38    40 29936
   109   111 30257
    18    20 30539
   128   130 30927
    81    83 31288
    88    90 31443
   151   153 31563
   164   166 32083
    56    58 32314
   111   113 33736
    50    52 34037
    66    68 34419
   123   125 34626
    69    71 34924
   160   162 35305
    27    29 35311
   157   159 35419
    24    26 35435
    10    12 35564
   107   109 37302
   138   140 37476
     7     9 37491
    75    77 37972
    16    18 37982
   118   120 38204
    21    23 38475
   167   169 38664
   154   156 38859
    91    93 38904
   176   178 39173
     3     5 39463
    36    38 39602
   134   136 39767
    79    81 41362
   142   144 41457
    86    88 41534
   149   151 42078
    96    98 42320
   103   105 42615
    39    41 43504
   126   128 43598
    57    59 44181
    82    84 44692
   180   182 45125
    54    56 45466
   182   184 45653
    61    63 45852
    59    61 46433
   144   146 46648
   178   180 47109
   162   164 48190
    52    54 49017
    97    99 49440
   150   152 49575
    87    89 49815
    80    82 49985
    83    85 50370
   127   129 50863
    40    42 51056
   145   147 51348
    62    64 51718
    55    57 52037
   163   165 52631
   124   126 53289
   112   114 53868
    11    13 55038
    70    72 55230
   168   170 55308
    92    94 55412
   119   121 55574
    76    78 55714
    17    19 55719
   139   141 55994
   108   110 56147
    37    39 57041
    44    46 57512
   101   103 57549
    46    48 57958
    47    49 58043
    45    47 58332
    43    45 58944
   100   102 59018
   147   149 59497
    99   101 59908
    42    44 60304
   170   172 60495
    94    96 60497
   114   116 61143
    41    43 61488
    84    86 61929
    98   100 62232
    63    65 63115
   146   148 63426
    71    73 63575
    12    14 63735
   113   115 64190
   140   142 65237
   120   122 65283
    77    79 65369
   169   171 65422
    93    95 65458
